iteration,selected_index,min_distance,max_distance,mean_distance
60,607,0.0,0.40320052415635904,0.31213931814695745
61,2284,0.0,0.4021485504363967,0.311208129714375
62,950,0.0,0.4019017984167714,0.3101362400878143
63,501,0.0,0.3999613329265555,0.309455064951977
64,2877,0.0,0.3996558177995672,0.30753107354645426
65,977,0.0,0.3982862894977618,0.3064082834256791
66,851,0.0,0.3958282840295759,0.3057966007801928
67,470,0.0,0.3951318180709827,0.304281779615137
68,785,0.0,0.39483972300032705,0.30376488705189775
69,2197,0.0,0.39464326768720837,0.301286205596002
70,2798,0.0,0.39445858712296816,0.3006662292723995
71,39,0.0,0.39132464582999676,0.30006537959965623
72,2291,0.0,0.39071189048850713,0.2989698936664715
73,1707,0.0,0.38846366187594306,0.2983093717071076
74,813,0.0,0.386771132777804,0.29777726888427797
75,386,0.0,0.38646846459955475,0.29700884339579536
76,1463,0.0,0.38634626907225034,0.2965520433448615
77,796,0.0,0.3826880968390273,0.2960389972314953
78,1586,0.0,0.38221229142576474,0.2953411315370227
79,1335,0.0,0.38141908356656484,0.29494463013561123
80,664,0.0,0.38086482992942106,0.2939880951757056
81,2175,0.0,0.38060114745154494,0.2929789086944778
82,416,0.0,0.380561491133358,0.29263290123565405
83,2861,0.0,0.380400317148175,0.2918308714152357
84,1409,0.0,0.380335812527316,0.29117516794832027
85,2628,0.0,0.38006742649302955,0.2906988704872563
86,1241,0.0,0.37683009818246843,0.29035297165870516
87,2006,0.0,0.37662515617754494,0.28893413945990554
88,1510,0.0,0.37662515617754494,0.2884887213144044
89,1914,0.0,0.376473379511918,0.2880253284037332
90,2129,0.0,0.37588508695810613,0.28689153469074746
91,2936,0.0,0.37569282082970273,0.2864618310361453
92,952,0.0,0.37566070901275,0.28593287944276796
93,1126,0.0,0.3753547661760215,0.28537666851478566
94,881,0.0,0.3740370849756927,0.28494062023058625
95,233,0.0,0.3733524526307132,0.28409724618124454
96,1793,0.0,0.373327353748772,0.28269755808177305
97,789,0.0,0.3731599406084249,0.2819925449253908
98,1922,0.0,0.37306466934508514,0.2812869338944208
99,3116,0.0,0.37282484521482684,0.2807991596406812
100,1100,0.0,0.37257748434844074,0.2803782024443377
101,262,0.0,0.37253959814028476,0.279954914634453
102,2038,0.0,0.3715761352323783,0.27941691151664844
103,130,0.0,0.37157073843278493,0.2789450798870313
104,93,0.0,0.3710420229744088,0.2784153426387884
105,53,0.0,0.3705782515046546,0.2777991652842187
106,118,0.0,0.3700031169402944,0.277289925068742
107,535,0.0,0.36952771844500115,0.276909597701525
108,599,0.0,0.3691800591928974,0.2762895830837661
109,2690,0.0,0.3687066032032254,0.275373757052629
110,2316,0.0,0.3685126245153843,0.27411373685900986
111,644,0.0,0.36832510109947664,0.27378614240460725
112,1715,0.0,0.3679705892570087,0.2733266537269761
113,81,0.0,0.3676532383821259,0.27235131746518093
114,2264,0.0,0.36732352770541127,0.27165554832760064
115,146,0.0,0.36656520676517174,0.2710094400082652
116,827,0.0,0.3658083107170843,0.27060445174422426
117,352,0.0,0.3654536244997274,0.27012259669523625
118,1651,0.0,0.3648545472701628,0.2693996408218855
119,1307,0.0,0.36345475885626893,0.26903174370289645
120,891,0.0,0.36318933163834166,0.2681549876094335
