image_path,basename,mean_brightness,std_brightness
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_127_1988-jpg_gamma_jpg.rf.dcaf73edb3938b7d5b9c8facc2e73dfe.jpg,GX010065_127_1988-jpg_gamma_jpg.rf.dcaf73edb3938b7d5b9c8facc2e73dfe.jpg,102.36198784722222,55.68712578942598
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_12_324-jpg_gamma_jpg.rf.a6aecc1b26991226c5dd74a55eb80bc7.jpg,GX010065_12_324-jpg_gamma_jpg.rf.a6aecc1b26991226c5dd74a55eb80bc7.jpg,123.21309461805555,58.87744689616003
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_12_324-jpg_gamma_jpg.rf.ceadfc1eabdbfaede8393ccafa30b520.jpg,GX010065_12_324-jpg_gamma_jpg.rf.ceadfc1eabdbfaede8393ccafa30b520.jpg,123.21422743055555,58.859765373911294
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_13_336-jpg_gamma_jpg.rf.8a9d47ff221dba7bf0b1090d1e587095.jpg,GX010065_13_336-jpg_gamma_jpg.rf.8a9d47ff221dba7bf0b1090d1e587095.jpg,117.61035590277778,58.77060602323759
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_14_352-jpg_gamma_jpg.rf.40d50ed3c5017245575de5624d00490f.jpg,GX010065_14_352-jpg_gamma_jpg.rf.40d50ed3c5017245575de5624d00490f.jpg,119.10206597222222,58.98434974490251
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_14_352-jpg_gamma_jpg.rf.adc671635d977671a113835c6fc4f2b6.jpg,GX010065_14_352-jpg_gamma_jpg.rf.adc671635d977671a113835c6fc4f2b6.jpg,119.10029947916667,58.97682598599669
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_18_399-jpg_gamma_jpg.rf.02fe5df108ffa44ee16276551a0c296f.jpg,GX010065_18_399-jpg_gamma_jpg.rf.02fe5df108ffa44ee16276551a0c296f.jpg,124.27880208333333,59.31287191332639
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_18_399-jpg_gamma_jpg.rf.52e6933c1a486364c590a036c68ba348.jpg,GX010065_18_399-jpg_gamma_jpg.rf.52e6933c1a486364c590a036c68ba348.jpg,124.2818576388889,59.30357788257112
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_18_399-jpg_gamma_jpg.rf.b193cf334bf9293e3b15b498a1d69390.jpg,GX010065_18_399-jpg_gamma_jpg.rf.b193cf334bf9293e3b15b498a1d69390.jpg,124.27956597222222,59.27067071582105
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_21_452-jpg_gamma_jpg.rf.1b6a39c2dbb41118f189c43c6ec9615e.jpg,GX010065_21_452-jpg_gamma_jpg.rf.1b6a39c2dbb41118f189c43c6ec9615e.jpg,134.60486111111112,64.40387912624897
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_22_482-jpg_gamma_jpg.rf.347c82f3deeb22d01f3d706277cf1488.jpg,GX010065_22_482-jpg_gamma_jpg.rf.347c82f3deeb22d01f3d706277cf1488.jpg,125.43112847222223,66.37176457989325
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_22_482-jpg_gamma_jpg.rf.3c0417c9866ec401e48d8b81e309d06d.jpg,GX010065_22_482-jpg_gamma_jpg.rf.3c0417c9866ec401e48d8b81e309d06d.jpg,125.43811631944445,66.3909704860288
C:\Users\carmonta\Desktop\data-centric-cross-season-transfer\datasets\train_on_all\images\GX010065_22_482-jpg_gamma_jpg.rf.8f265a7b823e3f11cef4cc26e41ec0d0.jpg,GX010065_22_482-jpg_gamma_jpg.rf.8f265a7b823e3f11cef4cc26e41ec0d0.jpg,125.43286024305556,66.4327302241208
